score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.97175,8.345293,200.0,200.0,2.0,2,0A,13,2,BNCI2015-001,BrainModule
0.9815,6.113191,200.0,200.0,2.0,2,1B,13,2,BNCI2015-001,BrainModule
0.9825,8.630597,200.0,200.0,2.0,3,0A,13,2,BNCI2015-001,BrainModule
0.5371,7.5488057,200.0,200.0,2.0,3,1B,13,2,BNCI2015-001,BrainModule
0.9156,5.8701773,200.0,200.0,2.0,4,0A,13,2,BNCI2015-001,BrainModule
0.91855,5.0689793,200.0,200.0,2.0,4,1B,13,2,BNCI2015-001,BrainModule
0.5888,6.257389,200.0,200.0,2.0,5,0A,13,2,BNCI2015-001,BrainModule
0.68875,4.0693088,200.0,200.0,2.0,5,1B,13,2,BNCI2015-001,BrainModule
0.7873,4.5392995,200.0,200.0,2.0,6,0A,13,2,BNCI2015-001,BrainModule
0.7386,4.6294904,200.0,200.0,2.0,6,1B,13,2,BNCI2015-001,BrainModule
0.9408,5.5989175,200.0,200.0,2.0,7,0A,13,2,BNCI2015-001,BrainModule
0.9378,5.8249116,200.0,200.0,2.0,7,1B,13,2,BNCI2015-001,BrainModule
0.65465,15.658661,400.0,200.0,2.0,8,0A,13,2,BNCI2015-001,BrainModule
0.72785,11.951014,400.0,200.0,2.0,8,1B,13,2,BNCI2015-001,BrainModule
0.6779,9.49195,400.0,200.0,2.0,8,2C,13,2,BNCI2015-001,BrainModule
0.70775,12.77612,400.0,200.0,2.0,9,0A,13,2,BNCI2015-001,BrainModule
0.70875,12.983681,400.0,200.0,2.0,9,1B,13,2,BNCI2015-001,BrainModule
0.83585,16.772594,400.0,200.0,2.0,9,2C,13,2,BNCI2015-001,BrainModule
0.7262,14.815665,400.0,200.0,2.0,10,0A,13,2,BNCI2015-001,BrainModule
0.76405,10.625457,400.0,200.0,2.0,10,1B,13,2,BNCI2015-001,BrainModule
0.7225,12.721913,400.0,200.0,2.0,10,2C,13,2,BNCI2015-001,BrainModule
0.785,8.238957,400.0,200.0,2.0,11,0A,13,2,BNCI2015-001,BrainModule
0.5649,11.127829,400.0,200.0,2.0,11,1B,13,2,BNCI2015-001,BrainModule
0.6988,8.485377,400.0,200.0,2.0,11,2C,13,2,BNCI2015-001,BrainModule
0.6104,3.6238716,200.0,200.0,2.0,12,0A,13,2,BNCI2015-001,BrainModule
0.5541,4.602695,200.0,200.0,2.0,12,1B,13,2,BNCI2015-001,BrainModule
0.6479,158.24745,200.0,200.0,2.0,1,0A,13,2,BNCI2015-001,ZUNA
0.6771,160.01599,200.0,200.0,2.0,1,1B,13,2,BNCI2015-001,ZUNA
0.5302,97.69969,200.0,200.0,2.0,2,0A,13,2,BNCI2015-001,ZUNA
0.6452,158.94894,200.0,200.0,2.0,2,1B,13,2,BNCI2015-001,ZUNA
0.6481,159.15941,200.0,200.0,2.0,3,0A,13,2,BNCI2015-001,ZUNA
0.5951,157.64154,200.0,200.0,2.0,3,1B,13,2,BNCI2015-001,ZUNA
0.5944,157.83304,200.0,200.0,2.0,4,0A,13,2,BNCI2015-001,ZUNA
0.5661,157.68672,200.0,200.0,2.0,4,1B,13,2,BNCI2015-001,ZUNA
0.5294,159.9202,200.0,200.0,2.0,5,0A,13,2,BNCI2015-001,ZUNA
0.514,85.111244,200.0,200.0,2.0,5,1B,13,2,BNCI2015-001,ZUNA
0.5149,159.40596,200.0,200.0,2.0,6,0A,13,2,BNCI2015-001,ZUNA
0.5779,159.13213,200.0,200.0,2.0,6,1B,13,2,BNCI2015-001,ZUNA
0.5999,160.57845,200.0,200.0,2.0,7,0A,13,2,BNCI2015-001,ZUNA
0.522,158.44585,200.0,200.0,2.0,7,1B,13,2,BNCI2015-001,ZUNA
0.5009,439.1116,400.0,200.0,2.0,8,0A,13,2,BNCI2015-001,ZUNA
0.5231,196.74527,400.0,200.0,2.0,8,1B,13,2,BNCI2015-001,ZUNA
0.5488,210.03796,400.0,200.0,2.0,8,2C,13,2,BNCI2015-001,ZUNA
0.5071,212.15688,400.0,200.0,2.0,9,0A,13,2,BNCI2015-001,ZUNA
0.4638,201.11095,400.0,200.0,2.0,9,1B,13,2,BNCI2015-001,ZUNA
0.479,287.46814,400.0,200.0,2.0,9,2C,13,2,BNCI2015-001,ZUNA
0.4939,203.0631,400.0,200.0,2.0,10,0A,13,2,BNCI2015-001,ZUNA
0.5271,379.75882,400.0,200.0,2.0,10,1B,13,2,BNCI2015-001,ZUNA
0.4928,377.37604,400.0,200.0,2.0,10,2C,13,2,BNCI2015-001,ZUNA
0.473,379.34583,400.0,200.0,2.0,11,0A,13,2,BNCI2015-001,ZUNA
0.5225,375.89322,400.0,200.0,2.0,11,1B,13,2,BNCI2015-001,ZUNA
0.5051,214.6346,400.0,200.0,2.0,11,2C,13,2,BNCI2015-001,ZUNA
0.4581,80.80976,200.0,200.0,2.0,12,0A,13,2,BNCI2015-001,ZUNA
0.5571,114.05813,200.0,200.0,2.0,12,1B,13,2,BNCI2015-001,ZUNA
